id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-F4AFBAB2B0A34EC8AAB4-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,26 dk.,"14,2 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
DD-F2FAB69B23C740E785EB-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,33 dk.,"24,2 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
DD-A22BC30C5A814393ADFA-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,25 dk.,"18,3 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-09304E3C18C84BBC8BA6-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,34 dk.,"24,8 km",MG-3Y9X0UEV5LLRUAI9TMLQ,41.0443431,29.0453111
DD-A97A52FB7672408F8E99-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,25 dk.,"18,5 km",MG-JMPF7MWR6SCBZIBCECIE,41.0005735,29.0673931
DD-134A685F8A7940CD9690-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,27 dk.,"21,3 km",MG-7XO7X914F4YUUW5WBHF0,40.9918965,29.0290998
DD-A7061EBAF3CE419B9444-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,13 dk.,"7,1 km",MG-FYEKUDWVT2HT9PHGOHQW,40.9227993,29.1298266
DD-B935E5520C8D4C30A8BD-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,17 dk.,"8,3 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
DD-CF70D2E30F8B4956A79F-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,27 dk.,"19,0 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-DD667ED5A3094876B755-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,24 dk.,"12,8 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
DD-239187AD6A4147638A87-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,30 dk.,"15,6 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
DD-D88C791DD3DD42FB8740-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,30 dk.,"24,6 km",MG-0YQN4Q7IEZGB3TKJWO8H,41.024865,29.087227
DD-4086D1DB2AC54F7CA8E5-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,18 dk.,"7,3 km",MG-IRNSVKMNCXT4NDYFXQAD,40.9184004,29.2204548
